entity,name,subcategory,type,first build,second build
Module,:build-logic:convention,executed_not_cacheable,FingerprintingMedian,6.0,6.0
Module,:build-logic:convention,executed_not_cacheable,FingerprintingP90,6.0,7.0
Module,:build-logic:convention,executed_cacheable,Duration,18117,17295
Module,:build-logic:convention,executed_cacheable,Counter,1,1
Module,:build-logic:convention,executed_cacheable,Fingerprinting,1584,1516
Module,:build-logic:convention,executed_cacheable,DurationMean,18117,17295
Module,:build-logic:convention,executed_cacheable,DurationMedian,18117.0,17295.0
Module,:build-logic:convention,executed_cacheable,DurationP90,18117.0,17295.0
Module,:build-logic:convention,executed_cacheable,FingerprintingMean,1584,1516
Module,:build-logic:convention,executed_cacheable,FingerprintingMedian,1584.0,1516.0
Module,:build-logic:convention,executed_cacheable,FingerprintingP90,1584.0,1516.0
Module,:build-logic:convention,no-source,Duration,3,3
Module,:build-logic:convention,no-source,Counter,1,1
Module,:build-logic:convention,no-source,Fingerprinting,1,1
Module,:build-logic:convention,no-source,DurationMean,3,3
Module,:build-logic:convention,no-source,DurationMedian,3.0,3.0
Module,:build-logic:convention,no-source,DurationP90,3.0,3.0
Module,:build-logic:convention,no-source,FingerprintingMean,1,1
Module,:build-logic:convention,no-source,FingerprintingMedian,1.0,1.0
Module,:build-logic:convention,no-source,FingerprintingP90,1.0,1.0
Module,:build-logic:convention,lifecycle,Duration,1,1
Module,:build-logic:convention,lifecycle,Counter,1,1
Module,:build-logic:convention,lifecycle,Fingerprinting,0,0
Module,:build-logic:convention,lifecycle,DurationMean,1,1
Module,:build-logic:convention,lifecycle,DurationMedian,1.0,1.0
Module,:build-logic:convention,lifecycle,DurationP90,1.0,1.0
Module,:build-logic:convention,lifecycle,FingerprintingMean,0,0
Module,:build-logic:convention,lifecycle,FingerprintingMedian,0.0,0.0
Module,:build-logic:convention,lifecycle,FingerprintingP90,0.0,0.0
Module,:build-logic:convention,skipped,Duration,0,0
Module,:build-logic:convention,skipped,Counter,0,0
Module,:build-logic:convention,skipped,Fingerprinting,0,0
Module,:build-logic:convention,skipped,DurationMean,0,0
Module,:build-logic:convention,skipped,DurationMedian,NaN,NaN
Module,:build-logic:convention,skipped,DurationP90,NaN,NaN
Module,:build-logic:convention,skipped,FingerprintingMean,0,0
Module,:build-logic:convention,skipped,FingerprintingMedian,NaN,NaN
Module,:build-logic:convention,skipped,FingerprintingP90,NaN,NaN
Module,:build-logic:convention,avoided_from_local_cache,Duration,0,0
Module,:build-logic:convention,avoided_from_local_cache,Counter,0,0
Module,:build-logic:convention,avoided_from_local_cache,Fingerprinting,0,0
Module,:build-logic:convention,avoided_from_local_cache,DurationMean,0,0
Module,:build-logic:convention,avoided_from_local_cache,DurationMedian,NaN,NaN
Module,:build-logic:convention,avoided_from_local_cache,DurationP90,NaN,NaN
Module,:build-logic:convention,avoided_from_local_cache,FingerprintingMean,0,0
Module,:build-logic:convention,avoided_from_local_cache,FingerprintingMedian,NaN,NaN
Module,:build-logic:convention,avoided_from_local_cache,FingerprintingP90,NaN,NaN
Module,:core:model,executed_not_cacheable,Duration,18,24
Module,:core:model,executed_not_cacheable,Counter,1,1
Module,:core:model,executed_not_cacheable,Fingerprinting,2,3
Module,:core:model,executed_not_cacheable,DurationMean,18,24
Module,:core:model,executed_not_cacheable,DurationMedian,18.0,24.0
Module,:core:model,executed_not_cacheable,DurationP90,18.0,24.0
Module,:core:model,executed_not_cacheable,FingerprintingMean,2,3
Module,:core:model,executed_not_cacheable,FingerprintingMedian,2.0,3.0
Module,:core:model,executed_not_cacheable,FingerprintingP90,2.0,3.0
Module,:core:model,executed_cacheable,Duration,21067,13643
Module,:core:model,executed_cacheable,Counter,1,1
Module,:core:model,executed_cacheable,Fingerprinting,6878,2464
Module,:core:model,executed_cacheable,DurationMean,21067,13643
Module,:core:model,executed_cacheable,DurationMedian,21067.0,13643.0
Module,:core:model,executed_cacheable,DurationP90,21067.0,13643.0
Module,:core:model,executed_cacheable,FingerprintingMean,6878,2464
Module,:core:model,executed_cacheable,FingerprintingMedian,6878.0,2464.0
Module,:core:model,executed_cacheable,FingerprintingP90,6878.0,2464.0
Module,:core:model,no-source,Duration,8,4
Module,:core:model,no-source,Counter,2,2
Module,:core:model,no-source,Fingerprinting,0,0
Module,:core:model,no-source,DurationMean,4,2
